id,first_name,last_name,father_first_name,father_last_name,mother_first_name,mother_last_name,street_address,city,state,phone_number
1,Lelah,Powles,Nevins,Powles,Delia,Powles,42491 Derek Plaza,Chicago,Illinois,312-719-1846
2,Marillin,Innocenti,Igor,Innocenti,Euphemia,Innocenti,1469 Westerfield Center,Des Moines,Iowa,515-922-6706
3,Kiley,Petrasch,Thornton,Petrasch,Fayina,Petrasch,0033 Manley Drive,Annapolis,Maryland,443-819-7504
4,Barbey,Yitzhakov,Zerk,Yitzhakov,Wendi,Yitzhakov,8 Utah Crossing,Denver,Colorado,720-530-6059
5,Camel,Le Noire,Delainey,Le Noire,Letti,Le Noire,64 Park Meadow Trail,Richmond,Virginia,804-183-5058
6,Maddi,Munro,Cris,Munro,Rae,Munro,2986 Old Shore Road,Birmingham,Alabama,205-286-4872
7,Tova,Olive,Guido,Olive,Chandra,Olive,73 Susan Court,Austin,Texas,512-876-7193
8,Doy,Hubbins,Vasili,Hubbins,Bertine,Hubbins,32297 Katie Court,Lafayette,Louisiana,337-460-0338
9,Herrick,Hubberstey,Bar,Hubberstey,Rubetta,Hubberstey,226 Forest Crossing,San Antonio,Texas,210-551-9183
10,Aurore,Emmot,Rodrigo,Emmot,Nathalia,Emmot,6 Lien Street,Vancouver,Washington,360-762-1652
11,Marylee,Eidelman,Mikael,Eidelman,Tarrah,Eidelman,92914 Heffernan Place,Knoxville,Tennessee,865-825-5873
12,Barri,Pleuman,Krisha,Pleuman,Neysa,Pleuman,79 Old Gate Lane,Buffalo,New York,716-755-3794
13,Tommi,Cisar,Giustino,Cisar,Beth,Cisar,2395 Park Meadow Pass,Daytona Beach,Florida,407-922-0030
14,Opalina,Arrigo,Yale,Arrigo,Emmye,Arrigo,32356 Sunnyside Circle,Boston,Massachusetts,617-585-6397
15,Dana,Tather,Tull,Tather,Pat,Tather,639 Vermont Pass,Stockton,California,209-337-3945
16,Alison,Nowill,Barny,Nowill,Genvieve,Nowill,80729 Packers Junction,Bradenton,Florida,941-875-8524
17,Dani,Heinke,Valle,Heinke,Anitra,Heinke,72 Dottie Street,Kansas City,Missouri,816-582-0825
18,Gnni,Dunster,Antons,Dunster,Jaymee,Dunster,57734 Pleasure Way,Las Vegas,Nevada,702-833-0356
19,Jobye,Pulster,Simone,Pulster,Elvira,Pulster,5 Lakeland Junction,Tulsa,Oklahoma,918-608-3272
20,Thornton,Inworth,Davy,Inworth,Roseann,Inworth,9987 Algoma Junction,Dallas,Texas,214-625-4662
